onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_psych_history	ProAnti3Marino_mem_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
3530.610068	10.001000000000204	states									"         state_name
id                 
24  soft_drink_time"
3540.611068	0.0005059999998593412	states									"    state_name
id            
25  warndanger"
3540.611574	3.000015000000076	states									"            state_name
id                    
26  warndanger_warning"
3543.612068	8.947999999999865	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3543.612068	8.947999999999865	states									"   state_name
id           
0     state_0"
3543.612068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3543.628068	2.8015040000000226	states									"      state_name
id              
3   wait_for_cin"
3546.429572	1.0	states									"   state_name
id           
4     context"
3547.429572	0.001502000000073167	states									"   state_name
id           
6       csgap"
3547.431074	0.12799999999970169	states									"   state_name
id           
11    stim_on"
3547.559074	5.0009939999999915	states									"     state_name
id             
28  error_state"
3552.560568	82.60600000000022	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3552.560568	82.60600000000022	states									"   state_name
id           
0     state_0"
3552.560568	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3552.576568	66.8050189999999	states									"      state_name
id              
3   wait_for_cin"
3619.381587	1.0004880000001322	states									"   state_name
id           
4     context"
3620.382075	0.0015050000001792796	states									"   state_name
id           
6       csgap"
3620.38358	0.9924879999998666	states									"   state_name
id           
11    stim_on"
3621.376068	0.0005000000001018634	states									"            state_name
id                    
14  son_reward_chooser"
3621.376568	0.007499999999708962	states									"        state_name
id                
17  reward_big_son"
3621.384068	0.059509000000161905	states									"            state_name
id                    
18  reward_big_soffwon"
3621.443577	0.7214909999997872	states									"         state_name
id                 
23  post_reward_off"
3622.165068	10.000502000000324	states									"         state_name
id                 
24  soft_drink_time"
3632.16557	0.0004979999998795392	states									"    state_name
id            
25  warndanger"
3632.166068	3.000500000000102	states									"            state_name
id                    
26  warndanger_warning"
3635.167068	89.16850899999963	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3635.167068	89.16850899999963	states									"   state_name
id           
0     state_0"
3635.167068	0.01599999999962165	states									"          state_name
id                  
1   sending_trialnum"
3635.183068	81.47850900000003	states									"      state_name
id              
3   wait_for_cin"
3716.661577	1.0004910000002383	states									"   state_name
id           
4     context"
3717.662068	0.0009999999997489795	states									"   state_name
id           
6       csgap"
3717.663068	0.6705100000003767	states									"   state_name
id           
11    stim_on"
3718.333578	0.0004899999998997373	states									"            state_name
id                    
14  son_reward_chooser"
3718.334068	0.06700000000000728	states									"        state_name
id                
17  reward_big_son"
3718.401068	0.9335000000000946	states									"        state_name
id                
22  post_reward_on"
3719.334568	2.0005159999996067	states									"         state_name
id                 
23  post_reward_off"
3721.335084	0.0004870000002483721	states									"    state_name
id            
25  warndanger"
3721.335571	3.0000059999997575	states									"            state_name
id                    
26  warndanger_warning"
3724.336068	40.08950899999991	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3724.336068	40.08950899999991	states									"   state_name
id           
0     state_0"
3724.336068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3724.352068	33.7529999999997	states									"      state_name
id              
3   wait_for_cin"
3758.105068	1.000506000000314	states									"   state_name
id           
4     context"
3759.105574	0.0014939999996386177	states									"   state_name
id           
6       csgap"
3759.107068	0.31750000000010914	states									"   state_name
id           
11    stim_on"
3759.424568	5.001009000000067	states									"     state_name
id             
28  error_state"
3764.426072	17.9949959999999	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3764.426072	17.9949959999999	states									"   state_name
id           
0     state_0"
3764.426072	0.01599599999963175	states									"          state_name
id                  
1   sending_trialnum"
3764.442068	3.8535170000000107	states									"      state_name
id              
3   wait_for_cin"
3768.295585	1.0004830000002585	states									"   state_name
id           
4     context"
3769.296068	0.0009999999997489795	states									"   state_name
id           
6       csgap"
3769.297068	0.818000000000211	states									"   state_name
id           
11    stim_on"
3770.115068	0.0005089999999654538	states									"            state_name
id                    
14  son_reward_chooser"
3770.115577	0.06699100000014369	states									"        state_name
id                
17  reward_big_son"
3770.182568	0.9334999999996398	states									"        state_name
id                
22  post_reward_on"
3771.116068	1.1870160000003125	states									"         state_name
id                 
23  post_reward_off"
3772.303084	7.116990999999871	states									"         state_name
id                 
24  soft_drink_time"
3779.420075	0.0005089999999654538	states									"    state_name
id            
25  warndanger"
3779.420584	3.0004840000001423	states									"            state_name
id                    
26  warndanger_warning"
3782.421576	7.331507999999758	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3782.421576	7.331507999999758	states									"   state_name
id           
0     state_0"
3782.421576	0.01599999999962165	states									"          state_name
id                  
1   sending_trialnum"
3782.437576	1.257492000000184	states									"      state_name
id              
3   wait_for_cin"
3783.695068	1.0005040000000918	states									"   state_name
id           
4     context"
3784.695572	0.001495999999860942	states									"   state_name
id           
6       csgap"
3784.697068	0.05499999999983629	states									"   state_name
id           
11    stim_on"
3784.752068	5.001016000000163	states									"     state_name
id             
28  error_state"
3789.753589	16.793987000000016	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3789.753589	16.793987000000016	states									"   state_name
id           
0     state_0"
3789.753589	0.015988000000106695	states									"          state_name
id                  
1   sending_trialnum"
3789.769577	1.0294909999997799	states									"      state_name
id              
3   wait_for_cin"
3790.799068	1.00051300000041	states									"   state_name
id           
4     context"
3791.799581	0.0014869999999973516	states									"   state_name
id           
6       csgap"
3791.801068	0.3029999999998836	states									"   state_name
id           
11    stim_on"
3792.104068	0.0005000000001018634	states									"            state_name
id                    
14  son_reward_chooser"
3792.104568	0.06700799999998708	states									"        state_name
id                
17  reward_big_son"
3792.171576	0.93349199999966	states									"        state_name
id                
22  post_reward_on"
3793.105068	0.8009999999999309	states									"         state_name
id                 
23  post_reward_off"
3793.906068	9.641005000000405	states									"         state_name
id                 
24  soft_drink_time"
3803.547073	0.0005009999999856518	states									"    state_name
id            
25  warndanger"
3803.547574	3.0000019999997676	states									"            state_name
id                    
26  warndanger_warning"
3806.548068	8.900516000000152	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3806.548068	8.900516000000152	states									"   state_name
id           
0     state_0"
3806.548068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3806.564068	2.330999999999676	states									"      state_name
id              
3   wait_for_cin"
3808.895068	1.0005040000000918	states									"   state_name
id           
4     context"
3809.895572	0.0010019999999713036	states									"   state_name
id           
6       csgap"
3809.896574	0.5510140000001229	states									"   state_name
id           
11    stim_on"
3810.447588	5.000996000000214	states									"     state_name
id             
28  error_state"
3815.449077	55.3744999999999	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3815.449077	55.3744999999999	states									"   state_name
id           
0     state_0"
3815.449077	0.016006999999717664	states									"          state_name
id                  
1   sending_trialnum"
3815.465084	41.08698600000025	states									"      state_name
id              
3   wait_for_cin"
3856.55207	1.0004979999998795	states									"   state_name
id           
4     context"
3857.552568	0.0010090000000673172	states									"   state_name
id           
6       csgap"
3857.553577	0.6264909999999873	states									"   state_name
id           
11    stim_on"
