onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_incoh_history_task	state_type
592.571225	9.830500000000029	states																					"   state_name
id           
0     state_0"
592.571225	0.01599999999996271	states																					"          state_name
id                  
1   sending_trialnum"
592.587225	0.0004999999999881766	states																					"        state_name
id                
3   wait_for_cpoke"
592.587725	0.5	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
593.087725	0.9550050000000283	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
594.04273	0.001007999999956155	states																					"     state_name
id             
7   nic_prestim"
594.043738	0.0004870000000209984	states																					"   state_name
id           
8       cpoke"
594.044225	0.1510000000000673	states																					"   state_name
id           
9    cpoke_in"
594.195225	0.11450399999989713	states																					"       state_name
id               
11  wait_for_cout"
594.309729	0.25800200000003315	states																					"        state_name
id                
12  wait_for_spoke"
594.567731	7.830494000000044	states																					"     state_name
id             
15  error_state"
602.398225	0.003500000000030923	states																					"        state_name
id                
19  clean_up_state"
602.402225	12.95399999999995	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0	1.0	0.0	
602.402225	12.95399999999995	states																					"   state_name
id           
0     state_0"
602.402225	0.01599999999996271	states																					"          state_name
id                  
1   sending_trialnum"
602.418225	0.0004999999999881766	states																					"        state_name
id                
3   wait_for_cpoke"
602.418725	0.5005009999999857	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
602.919226	9.292508999999995	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
612.211735	0.0014899999999897773	states																					"     state_name
id             
7   nic_prestim"
612.213225	0.0005070000000841901	states																					"   state_name
id           
8       cpoke"
612.213732	0.03800499999999829	states																					"   state_name
id           
9    cpoke_in"
612.251737	0.10048699999993005	states																					"   state_name
id           
10  cpoke_out"
612.352224	3.0005009999999857	states																					"         state_name
id                 
17  nic_error_state"
615.352725	0.003500000000030923	states																					"        state_name
id                
19  clean_up_state"
615.356725	6.923008999999979	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	1.0	l	d	0.0	-4.0	0.0	1.0	0.0	0.0	
615.356725	6.923008999999979	states																					"   state_name
id           
0     state_0"
615.356725	0.01599999999996271	states																					"          state_name
id                  
1   sending_trialnum"
