onset	duration	nwb_table	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
2325.740832	34.063482999999906	trials	5.0	2.0	1.0	1.0	0.5	5.0	-2.0	6500.0	6500.0		1.0			r	3.0			
2325.740832	34.063482999999906	states																		"   state_name
id           
0     state_0"
2325.740832	0.015988999999990483	states																		"          state_name
id                  
1   sending_trialnum"
2325.756821	30.927494000000024	states																		"        state_name
id                
3   wait_for_cpoke"
2356.684315	0.0010000000002037268	states																		"     state_name
id             
4   nic_prestim"
2356.685315	0.11500499999965541	states																		"   state_name
id           
5       cpoke"
2356.80032	3.0005089999999655	states																		"         state_name
id                 
12  nic_error_state"
2359.800829	0.0034860000000662694	states																		"        state_name
id                
14  clean_up_state"
2359.80482	3.287011000000348	trials	5.0	2.0	1.0	1.0	0.5	-5.0	-1.0	6500.0	6500.0		1.0			l	3.0			
2359.80482	3.287011000000348	states																		"   state_name
id           
0     state_0"
2359.80482	0.016000999999960186	states																		"          state_name
id                  
1   sending_trialnum"
2359.820821	0.0004940000003443856	states																		"        state_name
id                
3   wait_for_cpoke"
2359.821315	0.0010159999997085833	states																		"     state_name
id             
4   nic_prestim"
2359.822331	0.26548400000001493	states																		"   state_name
id           
5       cpoke"
2360.087815	3.000500000000102	states																		"         state_name
id                 
12  nic_error_state"
2363.088315	0.0035160000002179004	states																		"        state_name
id                
14  clean_up_state"
2363.09232	7.795494999999846	trials	5.0	2.0	1.0	1.0	0.5	-2.0	2.0	6500.0	6500.0		1.0			l	3.0			
2363.09232	7.795494999999846	states																		"   state_name
id           
0     state_0"
2363.09232	0.01599999999962165	states																		"          state_name
id                  
1   sending_trialnum"
2363.10832	4.627995000000283	states																		"        state_name
id                
3   wait_for_cpoke"
2367.736315	0.0009999999997489795	states																		"     state_name
id             
4   nic_prestim"
2367.737315	0.1465000000002874	states																		"   state_name
id           
5       cpoke"
2367.883815	3.000514999999723	states																		"         state_name
id                 
12  nic_error_state"
2370.88433	0.003485000000182481	states																		"        state_name
id                
14  clean_up_state"
2370.88832	262.42601000000013	trials	5.0	2.0	1.0	1.0	0.5	2.0	-1.0	6500.0	6500.0		1.0			r	3.0	1.0	1.0	
2370.88832	262.42601000000013	states																		"   state_name
id           
0     state_0"
2370.88832	0.015995000000202708	states																		"          state_name
id                  
1   sending_trialnum"
2370.904315	259.1745069999997	states																		"        state_name
id                
3   wait_for_cpoke"
2630.078822	0.0014930000002095767	states																		"     state_name
id             
4   nic_prestim"
2630.080315	0.2300000000000182	states																		"   state_name
id           
5       cpoke"
2630.310315	3.0005019999998694	states																		"         state_name
id                 
12  nic_error_state"
2633.310817	0.003513000000111788	states																		"        state_name
id                
14  clean_up_state"
2633.314832	2.786982999999964	trials	5.0	2.0	1.0	1.0	0.5	5.0	-2.0	6500.0	6500.0	1.0	0.0		1.0	r	1.0			
2633.314832	2.786982999999964	states																		"   state_name
id           
0     state_0"
2633.314832	0.015992999999980384	states																		"          state_name
id                  
1   sending_trialnum"
2633.330825	0.4335049999999683	states																		"        state_name
id                
3   wait_for_cpoke"
