onset	duration	nwb_table	crosstalk_dir	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
1658.658021	3.964484999999968	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0		1.0			l	3.0			
1658.658021	3.964484999999968	states																			"   state_name
id           
0     state_0"
1658.658021	0.015985000000000582	states																			"          state_name
id                  
1   sending_trialnum"
1658.674006	0.0005060000000867149	states																			"        state_name
id                
3   wait_for_cpoke"
1658.674512	0.10050000000001091	states																			"     state_name
id             
4   nic_prestim"
1658.775012	0.8435099999999238	states																			"   state_name
id           
5       cpoke"
1659.618522	3.000483999999915	states																			"         state_name
id                 
12  nic_error_state"
1662.619006	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1662.623022	4.082983999999897	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0		1.0			l	3.0			
1662.623022	4.082983999999897	states																			"   state_name
id           
0     state_0"
1662.623022	0.015984000000116794	states																			"          state_name
id                  
1   sending_trialnum"
1662.639006	0.22749999999996362	states																			"        state_name
id                
3   wait_for_cpoke"
1662.866506	0.10050000000001091	states																			"     state_name
id             
4   nic_prestim"
1662.967006	0.7349999999999	states																			"   state_name
id           
5       cpoke"
1663.702006	3.000500000000102	states																			"         state_name
id                 
12  nic_error_state"
1666.702506	0.003499999999803549	states																			"        state_name
id                
14  clean_up_state"
1666.706506	3.791500000000042	trials	0.0	5.0	2.0	1.0	1.0	0.15	5.0	0.0	6500.0	14200.0		1.0			r	3.0			
1666.706506	3.791500000000042	states																			"   state_name
id           
0     state_0"
1666.706506	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1666.722506	0.6470019999999295	states																			"        state_name
id                
3   wait_for_cpoke"
1667.369508	0.10000399999989895	states																			"     state_name
id             
4   nic_prestim"
1667.469512	0.024494000000004235	states																			"   state_name
id           
5       cpoke"
1667.494006	3.000500000000102	states																			"         state_name
id                 
12  nic_error_state"
